layout_id,opteff_table,opteff_table_mean,annual_dni_weighted_eta,annual_thermal_proxy_mwh_nasa,annual_thermal_proxy_mwh_reported_tmy_scaled,max_hourly_thermal_proxy_mw,positive_dni_hours,interp_min_eta,interp_p10_eta,interp_p90_eta,delta_opteff_table_mean_pct,delta_annual_dni_weighted_eta_pct,delta_annual_thermal_proxy_mwh_nasa_pct,delta_annual_thermal_proxy_mwh_reported_tmy_scaled_pct,electric_proxy_mwh_calibrated_to_public_generation,delta_electric_proxy_pct
deform_0276,opteff_deform_0276.csv,0.368531810689137,0.3773762093064538,956631.3176976239,977707.6626077757,616.4616915017987,4248,0.21665524547731813,0.29033676915803247,0.4126147458029542,3.1475413932443352,3.3644189752167986,3.364418975216843,3.3644189752168208,363429.2971168623,3.3644189752168208
sb_hy_energy,opteff_sb_hy_energy.csv,0.3635035268644145,0.371849980019398,942622.5808604737,963390.2875691857,605.9771862796537,4248,0.2190560888950069,0.28985457474315923,0.4054172947022967,1.7401863185828592,1.8507690277806965,1.8507690277807187,1.850769027780741,358107.3039016771,1.850769027780741
sb_ta_energy,opteff_sb_ta_energy.csv,0.361002083088576,0.3691303588190156,935728.4663180077,956344.2830213865,600.9399916304379,4248,0.21977663503669198,0.2892910553260234,0.402061845244091,1.0400628341848739,1.1058570320646943,1.1058570320646943,1.1058570320647165,355488.1933247395,1.1058570320647165
joint_g02_0333,opteff_joint_g02_0333.csv,0.3605554104209499,0.3686426318072927,934492.1007962947,955080.6780964795,599.9110196624594,4248,0.22065463022821558,0.2891998684967839,0.40129689073259855,0.9150446237160326,0.9722672138885446,0.9722672138885446,0.9722672138885224,355018.4915240321,0.9722672138885446
deform_1387,opteff_deform_1387.csv,0.3598089438890156,0.36780154385442626,932359.9815561104,952901.5843535119,598.3145125383777,4248,0.22082129026738342,0.28938104779870827,0.40024000968109874,0.7061177813970865,0.7418908271129343,0.7418908271129565,0.7418908271129565,354208.48814812914,0.7418908271129565
sb_pf_energy,opteff_sb_pf_energy.csv,0.35962572490643774,0.36763742424077606,931943.945890919,952476.3826585113,598.039949640507,4248,0.2207536304966262,0.2891405425196403,0.4000470985032734,0.6548370315640151,0.6969379973132961,0.6969379973132961,0.6969379973132961,354050.4339985536,0.6969379973133183
sb_hs_energy,opteff_sb_hs_energy.csv,0.35897294118756157,0.3669107015792672,930101.7373994044,950593.5869304666,596.706684064148,4248,0.22101213174347337,0.2889989616388707,0.3991018324365731,0.4721308615384112,0.49788658969796007,0.4978865896979823,0.4978865896979823,353350.5692493781,0.4978865896979823
sb_ta_flux,opteff_sb_ta_flux.csv,0.35827741108725925,0.3661457944354699,928162.7330031499,948611.8627061218,595.4139166676101,4248,0.22072497070600489,0.2888926306471743,0.3982573638335554,0.27746050275168077,0.2883763435859832,0.2883763435860276,0.2883763435860054,352613.9312240484,0.2883763435860054
deform_0893,opteff_deform_0893.csv,0.3581512584642348,0.36600707964311985,927811.0973904179,948252.4799150154,595.0782094934268,4248,0.2195302363046674,0.2890491647146304,0.3979843714077416,0.24215192821925857,0.2503819667255991,0.2503819667256435,0.2503819667256435,352480.34299500735,0.2503819667256435
baseline_full,opteff_baseline_full.csv,0.35728608332420614,0.36509295272770365,925493.8277425915,945884.1565608721,593.5175571645764,4248,0.2211857495405765,0.2884238005302833,0.3969493448163906,0.0,0.0,0.0,0.0,351600.0,0.0
joint_g04_0478,opteff_joint_g04_0478.csv,0.35481410114389006,0.3623982758767826,918662.9459776724,938902.7779248443,588.393956855208,4248,0.22177723725313261,0.2881592722879722,0.39345555624773,-0.6918775445482361,-0.7380796673253864,-0.7380796673253531,-0.7380796673253642,349004.91188968404,-0.7380796673253642
sb_hy_flux,opteff_sb_hy_flux.csv,0.35474358804009426,0.3623382217532696,918510.7115392188,938747.1894821129,588.5685834639842,4248,0.21982437155153972,0.2876432525268627,0.3936013389976537,-0.7116132989162027,-0.7545286628659276,-0.7545286628659165,-0.7545286628659054,348947.0772213635,-0.7545286628659054
sb_hs_flux,opteff_sb_hs_flux.csv,0.35443156959351435,0.3620192280782158,917702.077258153,937920.7395026702,588.2650318459688,4248,0.22151379066055035,0.28743689647351217,0.3930140014616608,-0.7989434416625585,-0.841901939361811,-0.8419019393617888,-0.8419019393617888,348639.87278120394,-0.8419019393617888
sb_pf_flux,opteff_sb_pf_flux.csv,0.35435264625146085,0.36194199793439646,917506.3023989387,937720.6513637404,587.8833734249032,4248,0.22160674238600578,0.2875049162534483,0.3931406099823137,-0.8210331187412767,-0.8630554958033554,-0.863055495803311,-0.8630554958033332,348565.49687675544,-0.8630554958033443
ctrl_radial_expand_015,opteff_ctrl_radial_expand_015.csv,0.35409984406718314,0.36164823764677134,916761.63359336,936959.5761366913,587.2157604453764,4248,0.2220731073088361,0.28760215719399723,0.39263716880095517,-0.8917893547316647,-0.9435172755858368,-0.9435172755857923,-0.9435172755857923,348282.5932590403,-0.9435172755858034
sb_balanced,opteff_sb_balanced.csv,0.35143735306433893,0.35887268570399916,909725.7371937642,929768.6660170482,583.1121097132972,4248,0.2203894179604647,0.28546391204345933,0.38948471303418447,-1.6369879860559822,-1.7037488610040952,-1.7037488610040619,-1.703748861004084,345609.61900470965,-1.703748861004084
