matrix,view,layout_id,label,role,strategy,strategy_short,cases,mean_delta_peak_pct,median_delta_peak_pct,hodges_lehmann_pct,std_delta_peak_pct,cohen_dz,ci95_low_mean_pct,ci95_high_mean_pct,lower_fraction,sign_lower_count,sign_nonzero_count,sign_test_p_lower,wilcoxon_p_lower,practical_threshold_pct,evidence_grade,ci
baseline-control direct,best-direct,ctrl_radial_compact_015,$C_{rad-}$,same-condition control,staggered_levels:9:0.380:5,S9-p5,27,-1.4428858273735599,-0.540545774064752,-0.554951390156418,9.749797238721726,-0.1479913676197366,-5.028884688066031,2.146143642365817,0.6666666666666666,18,27,0.06103906035423279,0.1241690143942833,1.0,directional practical reduction,"[-5.03, +2.15]"
baseline-control direct,best-direct,ctrl_radial_expand_015,$C_{rad+}$,same-condition control,visible_equator,visible,27,-2.4339956293509535,-7.17174720294949,-3.0259889377974956,11.11006560423334,-0.21908022113060363,-6.61188132472696,1.7030004055823236,0.5555555555555556,15,27,0.3505540192127228,0.2135104164481163,1.0,weak directional reduction,"[-6.61, +1.70]"
baseline-control direct,best-direct,ctrl_ring_wave_012,$C_{wave}$,same-condition control,five_point,five-point,27,-2.3033582726457618,-0.0812967185900528,-2.749307621031706,9.361087789107204,-0.24605668962169194,-5.79752471129239,1.1994956788797586,0.5555555555555556,15,27,0.3505540192127228,0.2135104164481163,1.0,weak directional reduction,"[-5.80, +1.20]"
baseline-control direct,best-direct,deform_0276,$L_{opt}$,TS-FPDA optical-upper,five_point,five-point,27,-1.1969595833436601,-0.4937631293524949,-0.6343644882890934,12.857692595017227,-0.09309287607385487,-5.801018024951358,3.648320537160785,0.7407407407407407,20,27,0.0095786452293396,0.1241690143942833,1.0,directional practical reduction,"[-5.80, +3.65]"
baseline-control direct,best-direct,deform_0893,$L_{nom}$,TS-FPDA nominal-proxy,staggered_levels:9:0.380:0,S9-p0,27,-3.491041106492582,-0.1939109767562981,-4.056153665918456,9.705061874807354,-0.35971343114820475,-7.149265612859609,0.08590584620538624,0.5185185185185185,14,27,0.5,0.15059537440538406,1.0,weak directional reduction,"[-7.15, +0.09]"
baseline-control direct,best-direct,deform_1387,$L_{rob}$,TS-FPDA receiver-risk,staggered_levels:9:0.380:2,S9-p2,27,-3.6050523457845536,-0.7217625114828876,-4.492427980174924,7.061147219103589,-0.5105476821147789,-6.173736931799022,-0.9653376944908785,0.5925925925925926,16,27,0.22103416919708252,0.0346134752035141,1.0,CI-supported reduction,"[-6.17, -0.97]"
baseline-control direct,best-direct,deform_1822,$L_{ctrl}$,TS-FPDA default-flux-control,five_point,five-point,27,-0.877812331145349,0.2862976924834314,-0.021849665807592754,9.724620893495965,-0.09026699762994861,-4.470497379691798,2.7098480270678715,0.4444444444444444,12,27,0.7789658308029175,0.4952867478132248,1.0,engineering-indistinguishable/uncertain,"[-4.47, +2.71]"
joint direct promotion,best-direct,joint_g02_0333,$J_{bal}$,joint no-energy-loss balance,staggered_levels:9:0.380:2,S9-p2,27,-1.981780958087683,-0.5296007214523998,-4.451036785328369,12.924041458110185,-0.15334065311621714,-6.585207911626559,2.982204947428538,0.7037037037037037,19,27,0.026119492948055267,0.05281306803226471,1.0,directional practical reduction,"[-6.59, +2.98]"
joint direct promotion,best-direct,joint_g02_0303,$J_{gain}$,joint energy-gated receiver candidate,staggered_levels:9:0.380:2,S9-p2,27,-2.4947348057321808,-0.7397335317136785,-4.333367816891096,11.814821738248519,-0.21115297894473448,-6.56719614140669,1.9908526338754475,0.6296296296296297,17,27,0.12389428168535233,0.11928589642047882,1.0,weak directional reduction,"[-6.57, +1.99]"
joint direct promotion,best-direct,joint_g04_0478,$J_{flux}$,joint receiver-risk boundary,staggered_levels:9:0.380:5,S9-p5,27,-4.063301372127869,-7.621988709547595,-4.642922389443054,8.259187950838902,-0.4919734720064279,-6.990509304369493,-0.9251649113070944,0.7407407407407407,20,27,0.0095786452293396,0.005600057542324066,1.0,CI-supported reduction,"[-6.99, -0.93]"
