metric,baseline,mean_after_random_drop,mean_abs_delta,p95_abs_delta,max_abs_delta,mean_abs_rel_pct,p95_abs_rel_pct,max_abs_rel_pct
mean_radius_m,1020.5589918611257,1020.5560401625382,0.138199535322745,0.3324004040917259,0.5769251618153248,0.013541552857294385,0.032570425300506085,0.0565303099983691
median_radius_m,1012.3916140753043,1012.3916089635546,7.105958243698751e-06,1.3944208831162541e-05,3.5899152180718374e-05,7.018981730887975e-07,1.3773532531577583e-06,3.545974866011494e-06
p05_radius_m,296.93540351403027,296.93967429316683,0.004272747494268884,7.671634818962048e-06,8.539455330740907,0.001438948486338712,2.5836039516249737e-06,2.8758629754762186
p95_radius_m,1785.918570773819,1785.9185629268507,9.953380697083957e-06,8.368679709747084e-05,0.00023008631706034066,5.573255611968505e-07,4.6859245694057745e-06,1.288335990372992e-05
min_radius_m,171.97435638199087,171.9743563819908,0.0,0.0,0.0,0.0,0.0,0.0
max_radius_m,1988.054150591477,1988.0541505914773,0.0,0.0,0.0,0.0,0.0,0.0
x_span_m,3530.44,3530.4244500000004,0.015549999999999727,0.0,4.599999999999909,0.0004404550141058827,0.0,0.13029537394772064
y_span_m,3503.9300000000003,3503.9245,0.0055000000000009095,0.0,2.5400000000004184,0.00015696660606806954,0.0,0.07249003262052661
axis_ratio_x_over_y,1.0075657904124797,1.0075629351471798,6.020482788523407e-06,0.0,0.0013128116143874546,0.0005975275109388863,0.0,0.13029537394774118
mean_z_m,-2.2579935985693527,-2.257848997977273,0.002309494412798721,0.005539955369114247,0.010621317679516018,0.10228082197673186,0.245348586135245,0.47038741324358063
z_range_m,35.19410000000016,35.193881196154,0.00021880384615383263,0.0,0.14467692307698599,0.0006217060420747558,0.0,0.41108288911205376
sector_coverage_frac,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
min_sector_count,242.0,241.5725,0.4275,2.0,3.0,0.1766528925619835,0.8264462809917356,1.2396694214876034
annular_coverage_frac,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
min_annular_count,352.0,351.3645,0.6355,2.0,4.0,0.18053977272727276,0.5681818181818182,1.1363636363636365
