layout_id,years,mean_delta_annual_pct,min_delta_annual_pct,max_delta_annual_pct,std_delta_annual_pct,sign_positive_fraction,best_rank,median_rank,worst_rank,label
deform_0276,6,3.3630798696240785,3.345833527640618,3.3771274933172224,0.011514584382793265,1.0,1.0,1.0,1.0,L_opt
sb_hy_energy,6,1.8502614977553897,1.841946665983052,1.8571131361411197,0.005652423668928725,1.0,2.0,2.0,2.0,"B_hy,E"
sb_ta_energy,6,1.1052981700695352,1.1001028863321327,1.109593626802674,0.003530501357541693,1.0,3.0,3.0,3.0,sb_ta_energy
joint_g02_0333,6,0.9721534157285309,0.9677662026247535,0.9756431650044917,0.00279347199706,1.0,4.0,4.0,4.0,J_bal
deform_1387,6,0.7406163792230543,0.7367471241618961,0.7437672186380917,0.0024299991497052963,1.0,5.0,5.0,5.0,L_rob
sb_pf_energy,6,0.6970032994472372,0.6943925927420214,0.6991232978108997,0.0018651956322593794,1.0,6.0,6.0,6.0,sb_pf_energy
sb_hs_energy,6,0.49766347912950276,0.49565578070474015,0.4991892824410371,0.0013570117913619824,1.0,7.0,7.0,7.0,sb_hs_energy
sb_ta_flux,6,0.28758625903525886,0.28592054776668263,0.2887996932227743,0.0010982080546286697,1.0,8.0,8.0,8.0,sb_ta_flux
deform_0893,6,0.24928945068335798,0.247487834368032,0.2504572576597086,0.0012401903946346136,1.0,9.0,9.0,9.0,L_nom
joint_g04_0478,6,-0.738434606185201,-0.7411550135613232,-0.7360737833026154,0.002033041183316734,0.0,11.0,11.0,11.0,J_flux
sb_hy_flux,6,-0.755460813837531,-0.7570999804121792,-0.7534957936170206,0.0015497843369404842,0.0,12.0,12.0,12.0,sb_hy_flux
sb_hs_flux,6,-0.8417633995125332,-0.8448709622207229,-0.8390582793230239,0.0021393516186356642,0.0,13.0,13.0,13.0,"B_hs,R"
sb_pf_flux,6,-0.8634899891482085,-0.8657242263028553,-0.8611870248540154,0.0018042542249820561,0.0,14.0,14.0,14.0,"B_pf,R"
ctrl_radial_expand_015,6,-0.9430480385440717,-0.9465217382220614,-0.93886143790477,0.0028251106575228903,0.0,15.0,15.0,15.0,ctrl_radial_expand_015
sb_balanced,6,-1.703297789902832,-1.7078679410919007,-1.6972219135606204,0.0038799007412458485,0.0,16.0,16.0,16.0,sb_balanced
