layout_id,role,family,description,heliostat_count,energy_ratio_proxy,delta_proxy_energy_pct,flux_risk_index_proxy,delta_proxy_flux_index_pct,min_neighbor_m,terrain_elevation_range_m,terrain_slope_p95_pct,x_span_p99_m,y_span_p99_m,ellipse_axis_ratio,layout_quality_score,sector_coverage_ratio,annular_coverage_ratio,is_publishable_geometry,source_candidate_id,params_json,layout_sha256,weather_file,weather_sha256,heliostat_count_sp,reported_number_heliostats,aperture_area_m2_input,max_radius_m,x_span_p99_m_sp,y_span_p99_m_sp,convex_hull_area_m2,area_sf_output_m2,land_area_output_m2,base_land_area_output_m2,opteff_mean,opteff_min,opteff_max,opteff_p10,opteff_p90,flux_table_rows,flux_table_cols,flux_map_count,flux_peak_value,flux_mean_active,flux_peak_to_active_mean,flux_active_cv,note,strategy,intercept_fraction_proxy,peak_to_mean_proxy,cv_active_proxy,delta_opteff_pct,delta_default_flux_ratio_pct,delta_aiming_proxy_pct,pressure_score
deform_0893,L_nom,TS-FPDA representative,Nominal proxy leader from the existing TS-FPDA queue.,11915,0.9996977356768677,-0.030226432313229523,0.980865454364389,-1.913454563561101,16.961064534053172,34.825004801735986,1.265515302983562,3325.3281069738105,3349.8269037714617,1.0073673321878442,1.0,1.0,1.0,1,,,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,2015.1856751896803,3325.3281069738105,3349.8269037714617,9599919.678819507,0.0,2372.189717304405,2372.189717304405,0.3581512584642348,0.1530690036636238,0.4068201012975086,0.3027524004731001,0.3994887392364789,2064,24,86,0.0032473832834511,0.0023480185013711,1.38303138648815,0.0983379838571761,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.,staggered_levels:9:0.380:2,0.9936439187794132,1.5293168400724142,0.2671717607162932,0.24215192821928078,1.399029550883979,-6.223448854885538,-0.38741136967850975
deform_0276,L_opt,TS-FPDA representative,Optical-upper representative from the existing TS-FPDA queue.,11915,1.0020280690719199,0.20280690719198802,0.9874622878991159,-1.2537712100884058,16.20892434745614,33.307839566753955,1.2674113902741342,3098.280533098572,3175.7520790300796,1.0250046905384738,0.9367123192755074,1.0,1.0,1,,,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1897.159097365461,3098.280533098572,3175.7520790300796,8659873.667345367,0.0,2139.89949409419,2139.89949409419,0.368531810689137,0.145650168015286,0.4217685811395644,0.3050628584226902,0.4141551734638865,2064,24,86,0.0033617219887673,0.0023545322396433,1.4277663869561747,0.0987057412451762,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.,staggered_levels:9:0.380:0,0.9938124483995936,1.5415163378455052,0.2636582345653358,3.1475413932443574,4.678843500684682,-5.475384884826329,1.0420618179362506
deform_1387,L_rob,TS-FPDA representative,Receiver-risk representative from the existing TS-FPDA queue.,11915,0.9990214661701345,-0.09785338298654578,0.9618992087588972,-3.810079124110277,16.368308685912023,34.50832981988947,1.2668782831502934,3371.931911077234,3187.531724949739,1.0578504630037533,0.9576998981317117,1.0,1.0,1,,,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1972.8505813492711,3371.931911077234,3187.531724949739,9476776.755004045,0.0,2341.760465056435,2341.760465056435,0.3598089438890156,0.154316497198791,0.4091119174527608,0.3023079934783942,0.401837425136241,2064,24,86,0.0032796731684356,0.0023487101964877,1.3963720059375957,0.096782353703147,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.,staggered_levels:9:0.380:1,0.9937683647046124,1.5437009815231684,0.2526997041362772,0.7061177813971087,2.3771171626310483,-5.3414241879948365,-0.36358494178686307
sb_hy_energy,SB_hy_energy,hybrid pressure approximation,Hybrid petal/slider pressure baseline combining bounded petal modulation with ring sliding.,11915,1.0011584219597385,0.1158421959738476,1.0060331162724627,0.6033116272462724,16.49635310661904,34.187901455556585,1.2668163819601215,3195.840382817729,3248.547194623402,1.0164923167280346,0.966207877254309,1.0,1.0,1,hy_0039,"{""north_bias"": -0.0021486391367927177, ""petal_amp"": 0.003726607657688462, ""petal_order"": 4.0, ""petal_phase"": 1.0907419765549509, ""petal_twist"": -0.004659700338222556, ""radial_scale"": -0.012902148839547685, ""ring_amp"": 0.0058883184062263755, ""ring_order"": 4.0, ""ring_phase"": -2.4872476199329325, ""twist"": -0.007532221512943816, ""x_scale"": 0.9757761246956178, ""y_scale"": 0.9902658054128152}",3c5ff8894401623834abc8602c9324bdbdd5ebe36ad18f1453240dd802b05286,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1935.1564227435135,3195.840382817729,3248.5471946234015,9154121.089249684,0.0,2262.0305842297,2262.0305842297,0.3635035268644145,0.1506491169635626,0.4144839314501184,0.3038831407744193,0.4069515745965933,2064,24,86,0.0032586518209427,0.0023504187126339,1.3864133243268029,0.0981313428438978,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.,staggered_levels:9:0.380:2,0.9936724672551612,1.5584190747132836,0.2592323406706003,1.7401863185828592,1.646981418203186,-4.438921853203281,0.9990446803914255
sb_hy_flux,SB_hy_flux,hybrid pressure approximation,Hybrid petal/slider pressure baseline combining bounded petal modulation with ring sliding.,11915,0.9986205890357923,-0.13794109642076835,0.9878913406560356,-1.2108659343964434,16.97916413920982,35.560122498122155,1.265582745536343,3405.372096204166,3341.4672372888645,1.0191247899132931,1.0,1.0,1.0,1,hy_0018,"{""north_bias"": 0.00880271654466469, ""petal_amp"": -0.009463646922206921, ""petal_order"": 8.0, ""petal_phase"": 1.6267742603097084, ""petal_twist"": -0.000881159566217578, ""radial_scale"": 0.001632736591476987, ""ring_amp"": 0.005676862460887273, ""ring_order"": 3.0, ""ring_phase"": 0.42445002433022777, ""twist"": 0.013227824428585952, ""x_scale"": 1.0198181868496572, ""y_scale"": 0.9984211114375663}",af129916272985df187827e9a78c2dfd54ab34946e4ed9ddf60bd915490f08e0,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,2027.0171709406093,3405.3720962041657,3341.4672372888645,9989715.62408737,0.0,2468.5103077381505,2468.5103077381505,0.3547435880400942,0.1541645319898004,0.4023987754779055,0.2997548889233919,0.3951656264887173,2064,24,86,0.0032051685266196,0.0023463704615406,1.3660112838767766,0.0965264783814793,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.,staggered_levels:9:0.380:0,0.993785453338088,1.5649776234287882,0.2565959192500814,-0.7116132989162027,0.15117508820832182,-4.036756609911951,-0.7796420886099475
joint_g02_0333,J_bal,joint representative,No-energy-loss joint layout--aiming hypothesis from the existing joint queue.,11915,1.0000150353850785,0.0015035385078521202,0.9711424453756102,-2.885755462438977,16.625108197957736,34.57121227539574,1.2671760742158318,3282.40997712024,3237.6608431151208,1.0138214396669367,0.9727612859085426,1.0,1.0,1,,,3f25b15176fb7d169f770dab18b1652fd75f2c558423516aa10633a196b74c5c,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1972.7130636443571,3282.40997712024,3237.6608431151208,9412906.493728831,0.0,2325.977793814887,2325.977793814887,0.3605554104209499,0.1539678396938812,0.410221483579302,0.3021775718986166,0.4029066447402569,2064,24,86,0.0032609610352665,0.002349007480578,1.3882293105614598,0.0969901285348217,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.,staggered_levels:9:0.380:0,0.9937990671128344,1.4977530576565925,0.2573285282977088,0.9150446237160548,1.7801231846670262,-8.158916103065728,0.11398919061589297
joint_g04_0478,J_flux,joint representative,Receiver-boundary joint layout--aiming candidate from the existing joint queue.,11915,0.9980473125104178,-0.19526874895822166,0.9723898460807618,-2.7610153919238156,16.841469515598686,35.48514517954891,1.2654998954989083,3405.5419124277314,3299.820625849487,1.0320384949866868,0.9914373094682863,1.0,1.0,1,,,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,2000.8533026931832,3405.5419124277314,3299.820625849487,9917551.160370585,0.0,2450.6780961645436,2450.6780961645436,0.3548141011438901,0.1574200752990299,0.4021647091124785,0.3009633174745325,0.3949736068166314,2064,24,86,0.0032321964390575,0.0023461138534683,1.3776809826510914,0.0976620036902826,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.,staggered_levels:9:0.380:6,0.9935430910117298,1.50139105761293,0.2548101866639435,-0.6918775445482028,1.0067566335204114,-7.935836699222076,-1.144918029632388
ctrl_radial_expand_015,C_rad+,low-complexity control,Simple radial expansion control carried from the earlier baseline audit.,11915,0.9992350493381252,-0.07649506618747637,1.000694081737799,0.06940817377989461,17.489541634658856,35.76350409615361,1.2649742434104592,3357.225774,3378.2447999999995,1.006260831834064,1.0,1.0,1.0,1,,,9ff20aba5bb32231a30c7bf3543ddb8926621171e0373e37840cb6a6a1d1503c,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,2017.874962850349,3357.225774,3378.2447999999995,9999304.554501766,0.0,2470.879781970756,2470.879781970756,0.3540998440671831,0.1584414395335209,0.4014150298416339,0.3001531065711685,0.3941838833970116,2064,24,86,0.0031648250296711,0.0023448237503039,1.3497070000510465,0.0966518837861523,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.,staggered_levels:9:0.380:0,0.9938541124986054,1.6325012787088875,0.2592396383670004,-0.8917893547316647,-1.0441980418615548,0.1037428254957451,-0.9280993436551754
sb_pf_energy,SB_pf_energy,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,1.0005555254329566,0.055552543295656065,1.0078884767848078,0.7888476784807752,16.72472112986937,34.584854280363515,1.2658578556180042,3208.426503573708,3302.541028943233,1.02933354566941,0.970013076376231,1.0,1.0,1,pf_0031,"{""a1"": 0.002830304531178598, ""a2"": -0.0019770669642151565, ""a3"": 0.0008369997757424273, ""az_amp"": -0.006271862496702259, ""az_phase"": 2.879678809384588, ""phi1"": 1.6431645195311402, ""phi2"": -0.9167610785398326, ""phi3"": -1.6075059196884307, ""radial_scale"": -0.006499681895378272, ""ring_amp"": -0.006539458304230411, ""ring_order"": 2.0, ""ring_phase"": 1.8153196998468988, ""twist"": 0.015865933624703833, ""x_scale"": 0.982009251016928, ""y_scale"": 1.004718191327422}",3379713ef82bd6ff0ff8ffd485db67b9f62b939f48f423de2ed4691020b0446a,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1969.0943996176625,3208.426503573708,3302.541028943233,9354424.336672084,0.0,2311.526550596504,2311.526550596504,0.3596257249064377,0.1540593317987204,0.4090001853984767,0.302339059556298,0.4016077308261823,2064,24,86,0.0032034779433161,0.0023473017377026,1.364749103986684,0.097387443642805,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.,staggered_levels:9:0.380:8,0.9936112754813043,1.5793476979538814,0.2596466453315,0.6548370315640151,0.058636468170902845,-3.1555945162560106,0.6284506208871088
sb_pf_flux,SB_pf_flux,pattern-free approximation,Low-frequency sector/ring free-form pressure baseline inspired by pattern-free layout searches.,11915,0.9985920908639543,-0.14079091360457152,0.984314350482542,-1.568564951745799,17.018329036136574,35.25518699986992,1.2647635335590566,3377.5168798530062,3325.757322293788,1.0155632394499305,0.9992300386662905,1.0,1.0,1,pf_0015,"{""a1"": -0.004042103245874946, ""a2"": -0.002309627544318726, ""a3"": 2.1412718504104867e-05, ""az_amp"": -0.003018221768281693, ""az_phase"": -2.235782835534135, ""phi1"": -0.29470548478829783, ""phi2"": 0.07170463394922365, ""phi3"": -2.3400625754187296, ""radial_scale"": 0.011684207655761824, ""ring_amp"": -0.006633739310601369, ""ring_order"": 3.0, ""ring_phase"": -1.4240363286310795, ""twist"": 0.013667880731748742, ""x_scale"": 1.0118644535314183, ""y_scale"": 0.9920608113349315}",e9768dfc3eb57bea5fe8ca261a2a62247d089ce0f33ad6852cee68a562b5a3f5,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1986.735532704281,3377.5168798530062,3325.757322293788,9896934.165061727,0.0,2445.583530088175,2445.583530088175,0.3543526462514609,0.1574450892763234,0.4018859484400675,0.3001843104366833,0.3946649000902462,2064,24,86,0.0031836424022912,0.0023467929123861,1.3565928145974642,0.0978300411691677,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.,staggered_levels:9:0.380:8,0.9936960093341968,1.5419858422747932,0.2533171458955073,-0.8210331187412434,-0.5393541753408893,-5.446595228574392,-0.8210331187412434
