layout_id,strategy,receiver_intercept_per_requested_ray
deform_0276,visible_equator,0.7398166666666667
deform_1822,visible_equator,0.7279166666666667
baseline_full,visible_equator,0.7273666666666667
deform_0893,visible_equator,0.7251833333333333
deform_1387,visible_equator,0.7248166666666667
deform_0276,staggered_levels:9:0.380:8,0.6815166666666667
deform_0276,staggered_levels:9:0.380:0,0.6814833333333333
deform_0276,staggered_levels:9:0.380:1,0.6809333333333333
deform_0276,staggered_levels:9:0.380:2,0.6798333333333333
deform_0276,staggered_levels:9:0.380:7,0.6793166666666667
deform_0276,staggered_levels:9:0.380:3,0.6787333333333333
deform_0276,staggered_levels:9:0.380:6,0.6785666666666667
deform_0276,staggered_levels:9:0.380:5,0.67805
deform_0276,staggered_levels:9:0.380:4,0.6775833333333333
deform_1822,staggered_levels:9:0.380:0,0.67065
deform_1822,staggered_levels:9:0.380:8,0.67
baseline_full,staggered_levels:9:0.380:8,0.669
deform_1822,staggered_levels:9:0.380:1,0.6684166666666667
baseline_full,staggered_levels:9:0.380:0,0.6678666666666667
deform_0276,five_point,0.6675833333333333
deform_1822,staggered_levels:9:0.380:2,0.6674666666666667
deform_1822,staggered_levels:9:0.380:7,0.6667
baseline_full,staggered_levels:9:0.380:7,0.6666333333333333
deform_1822,staggered_levels:9:0.380:3,0.6666333333333333
deform_1822,staggered_levels:9:0.380:6,0.6666
deform_1387,staggered_levels:9:0.380:1,0.6665666666666666
baseline_full,staggered_levels:9:0.380:1,0.6663833333333333
deform_1387,staggered_levels:9:0.380:6,0.66625
deform_1387,staggered_levels:9:0.380:0,0.6661833333333333
deform_0893,staggered_levels:9:0.380:0,0.6661166666666667
deform_1387,staggered_levels:9:0.380:3,0.6657666666666666
deform_1387,staggered_levels:9:0.380:2,0.6657
deform_1822,staggered_levels:9:0.380:4,0.66565
deform_0893,staggered_levels:9:0.380:8,0.6654333333333333
deform_0893,staggered_levels:9:0.380:7,0.66535
baseline_full,staggered_levels:9:0.380:6,0.6653
baseline_full,staggered_levels:9:0.380:2,0.66525
baseline_full,staggered_levels:9:0.380:4,0.66525
deform_0893,staggered_levels:9:0.380:1,0.66505
deform_1387,staggered_levels:9:0.380:7,0.6650333333333334
deform_1387,staggered_levels:9:0.380:8,0.6646833333333333
deform_0893,staggered_levels:9:0.380:6,0.6646333333333333
baseline_full,staggered_levels:9:0.380:3,0.6646166666666666
deform_1822,staggered_levels:9:0.380:5,0.6644166666666667
baseline_full,staggered_levels:9:0.380:5,0.6642166666666667
deform_0893,staggered_levels:9:0.380:2,0.6637
deform_0893,staggered_levels:9:0.380:5,0.6636
deform_0893,staggered_levels:9:0.380:4,0.66355
deform_0893,staggered_levels:9:0.380:3,0.66355
deform_1387,staggered_levels:9:0.380:4,0.6632333333333333
deform_1387,staggered_levels:9:0.380:5,0.66285
deform_1822,five_point,0.6559833333333334
deform_0893,five_point,0.65425
baseline_full,five_point,0.6539166666666667
deform_1387,five_point,0.65305
