layout_id,strategy,layout_sha256,sample_sha256,full_heliostat_count,sampled_heliostat_count,ray_count_requested,raydata_rows,sun_day,sun_hour,sun_x,sun_y,sun_z,elapsed_s,receiver_absorbed_unique_rays,receiver_intercept_per_requested_ray,peak_flux_w_m2,mean_active_flux_w_m2,peak_to_active_mean,active_flux_cv,total_receiver_power_proxy_w,condition_id,baseline_peak_to_active_mean,baseline_active_flux_cv,baseline_receiver_intercept_per_requested_ray,baseline_total_receiver_power_proxy_w,delta_peak_to_active_mean_pct_vs_baseline_same_strategy,delta_active_cv_pct_vs_baseline_same_strategy,delta_receiver_intercept_pctpt_vs_baseline_same_strategy
baseline_full,visible_equator,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,b24bb2fb17e48296d534d3f2f039506ac41a93d4bfac56c8aad45cb4a3fbe443,11915,9000,240000,466413,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.565382957458496,170818.0,0.7117416666666667,2896890.6482489603,1022837.6701740536,2.8322095799971896,0.2966399493708008,24742053337.629547,d20_h10,2.8322095799971896,0.2966399493708008,0.7117416666666667,24742053337.629547,0.0,0.0,0.0
baseline_full,five_point,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,b24bb2fb17e48296d534d3f2f039506ac41a93d4bfac56c8aad45cb4a3fbe443,11915,9000,240000,466505,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.780677795410156,153724.0,0.6405166666666666,2457919.7624499053,921777.806798583,2.666499176180517,0.2444399891944226,22225956327.226418,d20_h10,2.666499176180517,0.2444399891944226,0.6405166666666666,22225956327.226418,0.0,0.0,0.0
baseline_full,staggered_levels:9:0.380:0,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,b24bb2fb17e48296d534d3f2f039506ac41a93d4bfac56c8aad45cb4a3fbe443,11915,9000,240000,466514,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.136296033859251,156905.0,0.6537708333333333,2322036.7686441503,933303.3508769164,2.487976461739265,0.2482611245019818,22771198699.006897,d20_h10,2.487976461739265,0.2482611245019818,0.6537708333333333,22771198699.006897,0.0,0.0,0.0
baseline_full,staggered_levels:9:0.380:1,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,b24bb2fb17e48296d534d3f2f039506ac41a93d4bfac56c8aad45cb4a3fbe443,11915,9000,240000,466388,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.85996437072754,156532.0,0.6522166666666667,2459653.743046595,933211.7006410108,2.6356867807777067,0.2510600096686982,22647912923.91585,d20_h10,2.6356867807777067,0.2510600096686982,0.6522166666666667,22647912923.91585,0.0,0.0,0.0
baseline_full,staggered_levels:9:0.380:2,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,b24bb2fb17e48296d534d3f2f039506ac41a93d4bfac56c8aad45cb4a3fbe443,11915,9000,240000,466323,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.877643823623655,156227.0,0.6509458333333333,2606413.546115694,934675.4008578946,2.7885761663604174,0.2545805618984557,22621787170.50092,d20_h10,2.7885761663604174,0.2545805618984557,0.6509458333333333,22621787170.50092,0.0,0.0,0.0
deform_0276,visible_equator,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,0737494bdbf63c1d7725ed3633c48c9c5711a07dd1e36aad8801b8e34163b061,11915,9000,240000,466625,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.245002269744871,173734.0,0.7238916666666667,3023777.645102121,1030817.8622400992,2.9333772297378173,0.302938733636976,25015856447.34153,d20_h10,2.8322095799971896,0.2966399493708008,0.7117416666666667,24742053337.629547,3.5720396701972934,2.1233769354179923,1.2149999999999994
deform_0276,five_point,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,0737494bdbf63c1d7725ed3633c48c9c5711a07dd1e36aad8801b8e34163b061,11915,9000,240000,466797,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.935181856155396,156316.0,0.6513166666666667,2446949.0947163776,921528.4519052086,2.6553158393074536,0.2471988867578501,22499840864.099133,d20_h10,2.666499176180517,0.2444399891944226,0.6405166666666666,22225956327.226418,-0.41940147489871477,1.1286604833029634,1.0800000000000032
deform_0276,staggered_levels:9:0.380:0,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,0737494bdbf63c1d7725ed3633c48c9c5711a07dd1e36aad8801b8e34163b061,11915,9000,240000,466733,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.501219034194946,158862.0,0.661925,2449502.443538352,934463.8335392004,2.621291863443312,0.2533408073400844,22890168069.72881,d20_h10,2.487976461739265,0.2482611245019818,0.6537708333333333,22771198699.006897,5.358386775526442,2.0461048214023005,0.8154166666666685
deform_0276,staggered_levels:9:0.380:1,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,0737494bdbf63c1d7725ed3633c48c9c5711a07dd1e36aad8801b8e34163b061,11915,9000,240000,466862,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.077888250350952,159294.0,0.663725,2450244.983773124,931875.8851851452,2.6293683769768426,0.2516055802272214,22959372026.18565,d20_h10,2.6356867807777067,0.2510600096686982,0.6522166666666667,22647912923.91585,-0.2397251390774046,0.21730683402871065,1.1508333333333343
deform_0276,staggered_levels:9:0.380:2,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,0737494bdbf63c1d7725ed3633c48c9c5711a07dd1e36aad8801b8e34163b061,11915,9000,240000,466898,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.233890295028688,159258.0,0.663575,2443017.3852148466,932871.052137132,2.618815729803269,0.2570935231214943,22886474278.50271,d20_h10,2.7885761663604174,0.2545805618984557,0.6509458333333333,22621787170.50092,-6.087710230225326,0.9870986238301124,1.2629166666666691
deform_0893,visible_equator,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,6943aee8fe23d7d7473bcc3717f4e334e4e869f057bd1e9e9b5b851daf0930ae,11915,9000,240000,466557,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.453757524490356,170575.0,0.7107291666666666,2748870.3976728497,1017741.473346956,2.7009515379508744,0.2940612154192011,24678345688.581383,d20_h10,2.8322095799971896,0.2966399493708008,0.7117416666666667,24742053337.629547,-4.634474898091597,-0.8693144524429051,-0.10125000000000828
deform_0893,five_point,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,6943aee8fe23d7d7473bcc3717f4e334e4e869f057bd1e9e9b5b851daf0930ae,11915,9000,240000,466519,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.908076286315918,153554.0,0.6398083333333333,2167228.441305028,918022.046034658,2.360758601240834,0.2414820232032062,22185773071.743484,d20_h10,2.666499176180517,0.2444399891944226,0.6405166666666666,22225956327.226418,-11.4659917269363,-1.2100990516996444,-0.07083333333333108
deform_0893,staggered_levels:9:0.380:0,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,6943aee8fe23d7d7473bcc3717f4e334e4e869f057bd1e9e9b5b851daf0930ae,11915,9000,240000,466318,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.426928281784058,155989.0,0.6499541666666667,2747002.373101216,932306.3579936366,2.946458907577208,0.2533770542976884,22552744904.088703,d20_h10,2.487976461739265,0.2482611245019818,0.6537708333333333,22771198699.006897,18.42792537986604,2.0607051571079915,-0.38166666666665794
deform_0893,staggered_levels:9:0.380:1,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,6943aee8fe23d7d7473bcc3717f4e334e4e869f057bd1e9e9b5b851daf0930ae,11915,9000,240000,466564,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.182013750076294,156047.0,0.6501958333333333,2453219.4482592307,927176.8296542048,2.6459024533369444,0.2531981750511429,22518678543.676952,d20_h10,2.6356867807777067,0.2510600096686982,0.6522166666666667,22647912923.91585,0.38759053745465927,0.8516551024060984,-0.20208333333333606
deform_0893,staggered_levels:9:0.380:2,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,6943aee8fe23d7d7473bcc3717f4e334e4e869f057bd1e9e9b5b851daf0930ae,11915,9000,240000,466592,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.64996576309204,155985.0,0.6499375,2888318.193054526,929009.1407442482,3.10903097330198,0.2509850807031465,22526715667.180523,d20_h10,2.7885761663604174,0.2545805618984557,0.6509458333333333,22621787170.50092,11.491699986800526,-1.4123156805441006,-0.10083333333333888
deform_1387,visible_equator,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,90bf2905f0443d5d83ec353f6d0d38fa4cc4d96ddd308ac8c03bca812590fd68,11915,9000,240000,466428,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.730492115020752,171058.0,0.7127416666666667,3318848.766736512,1023812.0099647824,3.2416583654363214,0.2998378941388897,24683288362.626705,d20_h10,2.8322095799971896,0.2966399493708008,0.7117416666666667,24742053337.629547,14.456867469516082,1.0780559984830276,0.10000000000000009
deform_1387,five_point,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,90bf2905f0443d5d83ec353f6d0d38fa4cc4d96ddd308ac8c03bca812590fd68,11915,9000,240000,466226,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.869574069976808,153602.0,0.6400083333333333,2315301.541340519,921514.7613322346,2.5124953375606114,0.2468233057630311,22227184209.561653,d20_h10,2.666499176180517,0.2444399891944226,0.6405166666666666,22225956327.226418,-5.775506701655911,0.9750109122746067,-0.050833333333333286
deform_1387,staggered_levels:9:0.380:0,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,90bf2905f0443d5d83ec353f6d0d38fa4cc4d96ddd308ac8c03bca812590fd68,11915,9000,240000,466501,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,9.88051724433899,156438.0,0.651825,2315518.348980556,928441.9468817242,2.4939829105712885,0.250903185673419,22639691217.36376,d20_h10,2.487976461739265,0.2482611245019818,0.6537708333333333,22771198699.006897,0.24141903769559014,1.064226699503303,-0.19458333333333133
deform_1387,staggered_levels:9:0.380:1,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,90bf2905f0443d5d83ec353f6d0d38fa4cc4d96ddd308ac8c03bca812590fd68,11915,9000,240000,466317,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,12.773410558700562,156135.0,0.6505625,2740011.0875922474,926767.2280999164,2.956525656620264,0.2497939566538195,22516401640.063976,d20_h10,2.6356867807777067,0.2510600096686982,0.6522166666666667,22647912923.91585,12.172875706721422,-0.5042830264164212,-0.16541666666666233
