layout_id,strategy,layout_sha256,sample_sha256,full_heliostat_count,sampled_heliostat_count,ray_count_requested,raydata_rows,sun_day,sun_hour,sun_x,sun_y,sun_z,elapsed_s,receiver_absorbed_unique_rays,receiver_intercept_per_requested_ray,peak_flux_w_m2,mean_active_flux_w_m2,peak_to_active_mean,active_flux_cv,total_receiver_power_proxy_w,condition_id,baseline_peak_to_active_mean,baseline_active_flux_cv,baseline_receiver_intercept_per_requested_ray,baseline_total_receiver_power_proxy_w,delta_peak_to_active_mean_pct_vs_baseline_same_strategy,delta_active_cv_pct_vs_baseline_same_strategy,delta_receiver_intercept_pctpt_vs_baseline_same_strategy
baseline_full,visible_equator,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,f01f50e2a27910c1a688e023b54842e09db0ec6753a9fd04158f1495dacfe123,11915,9000,180000,349785,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,14.07434582710266,128016.0,0.7112,3093150.066181243,1080507.4092023517,2.862682883835713,0.3098680909130629,24748293679.51613,d20_h10,2.862682883835713,0.3098680909130629,0.7112,24748293679.51613,0.0,0.0,0.0
baseline_full,five_point,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,f01f50e2a27910c1a688e023b54842e09db0ec6753a9fd04158f1495dacfe123,11915,9000,180000,349713,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,13.386008024215698,115104.0,0.6394666666666666,2695700.472658454,980505.6835149165,2.749296121359448,0.2586386732952769,22163279086.06276,d20_h10,2.749296121359448,0.2586386732952769,0.6394666666666666,22163279086.06276,0.0,0.0,0.0
baseline_full,staggered_levels:9:0.380:0,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,f01f50e2a27910c1a688e023b54842e09db0ec6753a9fd04158f1495dacfe123,11915,9000,180000,349704,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.43597412109375,117380.0,0.6521111111111111,2700021.7510316824,990353.8972244478,2.7263201150606124,0.2646718333538176,22637753795.43563,d20_h10,2.7263201150606124,0.2646718333538176,0.6521111111111111,22637753795.43563,0.0,0.0,0.0
baseline_full,staggered_levels:9:0.380:1,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,f01f50e2a27910c1a688e023b54842e09db0ec6753a9fd04158f1495dacfe123,11915,9000,180000,349640,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.71712327003479,117440.0,0.6524444444444445,2897401.892471432,993049.1987007778,2.917682121149838,0.2692232011591728,22684725216.789665,d20_h10,2.917682121149838,0.2692232011591728,0.6524444444444445,22684725216.789665,0.0,0.0,0.0
baseline_full,staggered_levels:9:0.380:2,234a49de3912495685c4af016fc57a6860841aac9f12c612883aa583af3edcfa,f01f50e2a27910c1a688e023b54842e09db0ec6753a9fd04158f1495dacfe123,11915,9000,180000,349732,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,12.989253520965576,117351.0,0.65195,2514651.9513448062,995717.9260725029,2.525466184247147,0.2642393483665733,22699763164.78957,d20_h10,2.525466184247147,0.2642393483665733,0.65195,22699763164.78957,0.0,0.0,0.0
deform_0276,visible_equator,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,de3cfdb29dc0b5af697362017533f1c29f5fbb7efc23380bf7a4859e7a7719cd,11915,9000,180000,350176,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.477939128875732,130595.0,0.7255277777777778,3259698.263038869,1080639.6459534524,3.0164525938365183,0.3152719921165596,25041193803.62123,d20_h10,2.862682883835713,0.3098680909130629,0.7112,24748293679.51613,5.371524414005964,1.7439360043731755,1.4327777777777717
deform_0276,five_point,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,de3cfdb29dc0b5af697362017533f1c29f5fbb7efc23380bf7a4859e7a7719cd,11915,9000,180000,350150,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,10.90989875793457,117143.0,0.6507944444444445,2878885.43529581,979602.7111134548,2.938829591461172,0.2610204866089727,22482751769.790462,d20_h10,2.749296121359448,0.2586386732952769,0.6394666666666666,22163279086.06276,6.893890717308576,0.920903777980869,1.1327777777777823
deform_0276,staggered_levels:9:0.380:0,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,de3cfdb29dc0b5af697362017533f1c29f5fbb7efc23380bf7a4859e7a7719cd,11915,9000,180000,350196,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,12.02478575706482,119638.0,0.6646555555555556,2691389.354127097,991727.5610177089,2.713839425179632,0.2634949420000192,22999459967.789825,d20_h10,2.7263201150606124,0.2646718333538176,0.6521111111111111,22637753795.43563,-0.4577851959509499,-0.4446605968173067,1.254444444444447
deform_0276,staggered_levels:9:0.380:1,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,de3cfdb29dc0b5af697362017533f1c29f5fbb7efc23380bf7a4859e7a7719cd,11915,9000,180000,350034,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.130832433700562,119388.0,0.6632666666666667,2688311.529725498,991992.5481726844,2.7100118188161244,0.2692359970859027,22925152636.490555,d20_h10,2.917682121149838,0.2692232011591728,0.6524444444444445,22684725216.789665,-7.117646601332705,0.0047529063894846,1.0822222222222178
deform_0276,staggered_levels:9:0.380:2,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,de3cfdb29dc0b5af697362017533f1c29f5fbb7efc23380bf7a4859e7a7719cd,11915,9000,180000,350003,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,11.541072607040403,119394.0,0.6633,2876431.5694074426,992771.9187965628,2.8973740241305883,0.2676777809930473,22895244719.855484,d20_h10,2.525466184247147,0.2642393483665733,0.65195,22699763164.78957,14.726304482049862,1.3012568520657697,1.1349999999999971
