layout_id,strategy,heliostat_count,group_count,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy
baseline_full,staggered_levels:9:0.380:0,11915,349,0.9938542273100508,0.0061457726899492,2.2135063719525467,1.3573053540011757,1.630809430926793,0.2592036312456703
ctrl_radial_expand_015,staggered_levels:9:0.380:0,11915,349,0.9938541124986054,0.0061458875013945,2.2140741513714772,1.356246503600012,1.6325012787088875,0.2592396383670004
deform_0276,staggered_levels:9:0.380:0,11915,347,0.9938124483995936,0.0061875516004062,2.1035903489278867,1.3646241024392658,1.5415163378455052,0.2636582345653358
deform_0893,staggered_levels:9:0.380:2,11915,346,0.9936439187794132,0.0063560812205867,2.0890120971565556,1.3659773059568476,1.5293168400724142,0.2671717607162932
deform_1387,staggered_levels:9:0.380:1,11915,351,0.9937683647046124,0.0062316352953876,2.0857814758342763,1.3511564096929172,1.5437009815231684,0.2526997041362772
joint_g02_0333,staggered_levels:9:0.380:0,11915,348,0.9937990671128344,0.0062009328871657,2.0321218118528903,1.3567802792753962,1.4977530576565925,0.2573285282977088
joint_g04_0478,staggered_levels:9:0.380:6,11915,350,0.9935430910117298,0.0064569089882702,2.0162414621821236,1.342915592815477,1.50139105761293,0.2548101866639435
sb_hs_flux,staggered_levels:9:0.380:2,11915,351,0.993634746680474,0.006365253319526,2.0485080398134645,1.3458368778099834,1.522107228289735,0.2521480042732631
sb_hy_energy,staggered_levels:9:0.380:2,11915,353,0.9936724672551612,0.0063275327448388,2.1165849808231765,1.358161623639382,1.5584190747132836,0.2592323406706003
sb_pf_flux,staggered_levels:9:0.380:8,11915,358,0.9936960093341968,0.0063039906658031,2.066152327525086,1.3399295057579927,1.5419858422747932,0.2533171458955073
joint_g02_0303,staggered_levels:9:0.380:3,11915,346,0.994714798083256,0.0052852019167438,,,1.4995900191632734,0.2285362193176393
