Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Version
NASA POWER,DUNHUANG_POWER_2023,Dunhuang,Gansu,China,40.063000,94.426000,8,1265.0,8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,downloaded 2026-05-11 UTC
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2023,1,1,0,30,-19.64,0.0,0.0,0.0,866.8,-5.67,77.4,1.06,,,,,,
2023,1,1,1,30,-19.76,0.0,0.0,0.0,866.9,-5.71,75.3,0.43,,,,,,
2023,1,1,2,30,-19.82,0.0,0.0,0.0,867.1,-6.15,279.8,0.29,,,,,,
2023,1,1,3,30,-19.8,0.0,0.0,0.0,867.3,-6.78,263.2,0.67,,,,,,
2023,1,1,4,30,-19.71,0.0,0.0,0.0,867.9,-7.56,252.3,1.19,,,,,,
2023,1,1,5,30,-19.48,0.0,0.0,0.0,868.8,-8.73,253.5,2.0,,,,,,
2023,1,1,6,30,-19.14,0.0,0.0,0.0,869.7,-9.46,256.6,2.47,,,,,,
2023,1,1,7,30,-18.86,28.41,63.6,27.27,870.5,-9.4,255.1,2.64,,,,,,
2023,1,1,8,30,-18.6,107.88,318.76,163.73,871.0,-7.18,253.1,3.3,,,,,,
2023,1,1,9,30,-19.28,150.98,498.46,296.45,871.4,-5.02,267.3,4.42,,,,,,
2023,1,1,10,30,-19.77,152.35,650.28,396.08,871.5,-3.31,279.7,4.7,,,,,,
2023,1,1,11,30,-19.67,161.75,614.58,426.65,871.1,-2.23,287.8,4.31,,,,,,
2023,1,1,12,30,-19.5,132.34,681.98,419.17,870.7,-1.51,298.8,3.98,,,,,,
2023,1,1,13,30,-19.28,94.58,720.84,360.67,870.7,-1.37,307.3,3.57,,,,,,
2023,1,1,14,30,-19.1,94.65,546.12,234.25,871.0,-1.67,310.3,2.97,,,,,,
2023,1,1,15,30,-18.99,65.19,210.01,98.05,871.5,-2.41,311.6,1.93,,,,,,
2023,1,1,16,30,-18.65,0.0,0.0,0.0,872.1,-3.61,326.5,0.85,,,,,,
2023,1,1,17,30,-18.79,0.0,0.0,0.0,872.5,-4.17,126.2,0.32,,,,,,
2023,1,1,18,30,-18.91,0.0,0.0,0.0,872.6,-4.76,147.7,1.12,,,,,,
2023,1,1,19,30,-19.04,0.0,0.0,0.0,872.4,-4.78,147.0,1.16,,,,,,
2023,1,1,20,30,-19.14,0.0,0.0,0.0,871.8,-4.46,117.8,0.86,,,,,,
2023,1,1,21,30,-19.25,0.0,0.0,0.0,871.1,-4.62,77.9,1.09,,,,,,
2023,1,1,22,30,-19.51,0.0,0.0,0.0,870.4,-5.43,63.6,1.44,,,,,,
2023,1,1,23,30,-19.81,0.0,0.0,0.0,869.8,-5.94,61.1,1.43,,,,,,
2023,1,2,0,30,-20.04,0.0,0.0,0.0,869.5,-5.7,65.5,1.01,,,,,,
2023,1,2,1,30,-20.33,0.0,0.0,0.0,869.4,-5.54,86.8,0.54,,,,,,
2023,1,2,2,30,-20.73,0.0,0.0,0.0,869.5,-5.44,182.5,0.45,,,,,,
2023,1,2,3,30,-21.17,0.0,0.0,0.0,869.6,-5.78,234.1,1.21,,,,,,
2023,1,2,4,30,-21.16,0.0,0.0,0.0,870.0,-7.06,257.9,1.96,,,,,,
2023,1,2,5,30,-21.18,0.0,0.0,0.0,870.5,-8.38,261.5,2.44,,,,,,
2023,1,2,6,30,-21.23,0.0,0.0,0.0,871.0,-9.2,258.2,2.58,,,,,,
2023,1,2,7,30,-21.3,29.25,57.79,27.08,871.2,-9.01,251.7,2.49,,,,,,
2023,1,2,8,30,-21.07,94.4,485.79,155.57,871.3,-6.1,246.0,2.17,,,,,,
2023,1,2,9,30,-20.84,141.37,684.48,279.73,871.3,-3.36,259.4,3.26,,,,,,
2023,1,2,10,30,-19.39,166.27,802.8,366.58,870.9,-2.08,282.8,4.26,,,,,,
2023,1,2,11,30,-18.26,186.22,755.78,391.42,870.0,-1.12,294.6,4.87,,,,,,
2023,1,2,12,30,-17.69,173.01,729.18,381.73,869.2,-0.51,301.7,5.09,,,,,,
2023,1,2,13,30,-17.35,150.44,613.81,321.35,868.7,-0.33,305.1,4.87,,,,,,
2023,1,2,14,30,-17.1,111.62,577.56,210.55,868.6,-0.72,307.3,4.24,,,,,,
2023,1,2,15,30,-16.96,54.25,299.81,89.97,868.8,-2.07,313.6,2.69,,,,,,
2023,1,2,16,30,-16.72,5.39,18.46,3.92,869.1,-4.45,328.2,1.48,,,,,,
2023,1,2,17,30,-16.71,0.0,0.0,0.0,869.6,-4.99,325.8,0.6,,,,,,
2023,1,2,18,30,-16.91,0.0,0.0,0.0,869.8,-5.52,302.0,0.19,,,,,,
2023,1,2,19,30,-17.22,0.0,0.0,0.0,869.6,-5.82,327.1,0.2,,,,,,
2023,1,2,20,30,-17.59,0.0,0.0,0.0,869.0,-5.93,342.9,0.27,,,,,,
2023,1,2,21,30,-18.03,0.0,0.0,0.0,868.3,-5.85,336.8,0.15,,,,,,
2023,1,2,22,30,-18.55,0.0,0.0,0.0,867.7,-5.56,236.3,0.18,,,,,,
2023,1,2,23,30,-19.04,0.0,0.0,0.0,867.1,-5.43,245.3,0.55,,,,,,
2023,1,3,0,30,-19.37,0.0,0.0,0.0,866.7,-5.58,262.9,0.89,,,,,,
2023,1,3,1,30,-19.51,0.0,0.0,0.0,866.4,-6.06,275.8,1.2,,,,,,
2023,1,3,2,30,-19.51,0.0,0.0,0.0,866.0,-6.71,280.1,1.48,,,,,,
2023,1,3,3,30,-19.47,0.0,0.0,0.0,865.8,-7.23,276.9,1.58,,,,,,
2023,1,3,4,30,-19.55,0.0,0.0,0.0,865.9,-7.6,262.4,1.66,,,,,,
2023,1,3,5,30,-19.71,0.0,0.0,0.0,866.3,-8.36,257.8,2.08,,,,,,
2023,1,3,6,30,-19.69,0.0,0.0,0.0,867.0,-9.49,264.6,2.53,,,,,,
2023,1,3,7,30,-19.37,30.15,105.03,30.33,867.6,-10.15,270.4,2.83,,,,,,
2023,1,3,8,30,-18.58,87.22,535.57,181.27,868.2,-7.69,273.4,3.24,,,,,,
2023,1,3,9,30,-17.44,101.11,711.96,314.27,868.7,-5.73,279.3,4.7,,,,,,
2023,1,3,10,30,-16.93,95.74,812.6,410.12,868.9,-4.3,287.1,5.5,,,,,,
2023,1,3,11,30,-17.04,104.08,783.88,440.5,868.5,-3.46,292.4,5.49,,,,,,
2023,1,3,12,30,-17.37,86.79,847.68,434.73,868.1,-2.92,296.0,5.2,,,,,,
2023,1,3,13,30,-17.67,100.07,723.75,352.88,868.0,-2.86,297.1,4.75,,,,,,
2023,1,3,14,30,-17.87,87.46,599.79,246.45,868.4,-3.37,294.9,4.11,,,,,,
2023,1,3,15,30,-18.12,54.86,343.64,99.12,868.8,-4.46,289.8,2.98,,,,,,
2023,1,3,16,30,-18.09,5.86,11.26,4.05,869.0,-6.9,285.0,1.51,,,,,,
2023,1,3,17,30,-18.1,0.0,0.0,0.0,869.0,-7.46,219.7,0.85,,,,,,
2023,1,3,18,30,-18.45,0.0,0.0,0.0,868.8,-8.02,175.1,1.76,,,,,,
2023,1,3,19,30,-19.16,0.0,0.0,0.0,868.1,-7.64,176.9,2.01,,,,,,
2023,1,3,20,30,-19.91,0.0,0.0,0.0,867.2,-6.16,200.9,1.35,,,,,,
2023,1,3,21,30,-20.36,0.0,0.0,0.0,866.7,-5.71,261.9,1.07,,,,,,
2023,1,3,22,30,-20.4,0.0,0.0,0.0,866.3,-6.52,286.7,1.39,,,,,,
2023,1,3,23,30,-20.46,0.0,0.0,0.0,866.1,-6.89,280.5,1.31,,,,,,
2023,1,4,0,30,-20.81,0.0,0.0,0.0,865.9,-6.5,251.6,1.17,,,,,,
2023,1,4,1,30,-21.38,0.0,0.0,0.0,865.8,-6.24,222.3,1.68,,,,,,
2023,1,4,2,30,-21.7,0.0,0.0,0.0,865.4,-6.37,220.0,2.19,,,,,,
2023,1,4,3,30,-21.86,0.0,0.0,0.0,864.9,-6.51,215.6,2.37,,,,,,
2023,1,4,4,30,-22.36,0.0,0.0,0.0,864.4,-7.21,196.9,3.23,,,,,,
2023,1,4,5,30,-23.01,0.0,0.0,0.0,863.9,-7.95,188.2,4.47,,,,,,
2023,1,4,6,30,-23.46,0.0,0.0,0.0,863.4,-7.72,187.7,5.22,,,,,,
2023,1,4,7,30,-23.74,29.03,72.96,27.83,863.0,-6.62,189.1,5.57,,,,,,
2023,1,4,8,30,-23.54,101.76,338.78,161.12,862.7,-3.13,191.8,5.55,,,,,,
2023,1,4,9,30,-22.87,144.55,519.56,278.52,862.5,1.03,200.7,5.27,,,,,,
2023,1,4,10,30,-22.29,193.59,478.35,368.67,862.2,4.26,228.3,4.63,,,,,,
2023,1,4,11,30,-22.49,209.91,533.62,408.38,861.5,6.2,260.7,5.19,,,,,,
2023,1,4,12,30,-22.51,245.87,392.39,414.8,861.1,6.78,278.7,6.23,,,,,,
2023,1,4,13,30,-22.44,189.29,447.61,334.38,861.3,5.95,293.1,7.05,,,,,,
2023,1,4,14,30,-22.18,131.88,357.07,223.7,862.2,3.69,303.9,6.49,,,,,,
2023,1,4,15,30,-21.61,67.92,195.34,98.78,862.9,0.74,307.0,3.57,,,,,,
2023,1,4,16,30,-21.16,6.7,12.01,4.95,863.3,-0.99,290.0,2.48,,,,,,
2023,1,4,17,30,-21.23,0.0,0.0,0.0,863.9,-1.3,268.4,2.46,,,,,,
2023,1,4,18,30,-21.38,0.0,0.0,0.0,864.8,-1.45,268.7,3.05,,,,,,
2023,1,4,19,30,-21.35,0.0,0.0,0.0,866.1,-2.05,274.6,3.89,,,,,,
2023,1,4,20,30,-20.98,0.0,0.0,0.0,867.1,-3.48,275.4,3.94,,,,,,
2023,1,4,21,30,-20.1,0.0,0.0,0.0,868.3,-3.69,282.7,4.58,,,,,,
2023,1,4,22,30,-17.68,0.0,0.0,0.0,870.0,-4.44,289.5,5.47,,,,,,
2023,1,4,23,30,-15.68,0.0,0.0,0.0,871.5,-5.22,285.4,6.12,,,,,,
2023,1,5,0,30,-16.04,0.0,0.0,0.0,872.5,-5.7,280.5,5.91,,,,,,
