Month,DNI,dni_kwh_m2,scaled_to_reported_tmy_kwh_m2
1,137511.85,137.51185,140.54148861439165
2,115021.14,115.02114,117.55526696589673
3,191848.56,191.84856,196.0753361323219
4,128691.41,128.69141,131.52671812127466
5,144732.71,144.73271,147.9214374222661
6,185106.69,185.10669000000001,189.18493035387658
7,187635.05,187.63504999999998,191.76899476834762
8,166181.53,166.18153,169.8428143204908
9,162116.41,162.11641,165.6881322607546
10,161125.62,161.12562,164.67551333733633
11,159054.76,159.05476000000002,162.55902848812516
12,103382.63,103.38263,105.66033921491757
